№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
1057,АБДУРАХМОНОВ АБДУРАХМОН АБДУСАЛОМОВИЧ,Индивидуальный предприниматель,Микропредприятие,324745600011734,745507788544,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Магнитогорск,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1058,АБДУРАХМОНОВ АБДУРАХМОН РАШИДОВИЧ,Индивидуальный предприниматель,Микропредприятие,323861700103696,775118425650,41.10 Разработка строительных проектов,86 - Ханты-Мансийский автономный округ - Югра,,г Сургут,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1059,АБДУРАХМОНОВ АБДУРАШИД АБДУРАСУЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321402700002606,502739672543,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,Город Обнинск,,Нет,10.02.2021,10.09.2022,,,,Нет,Нет,Нет,Нет,Нет,
1060,АБДУРАХМОНОВ АБДУСАЛОМ АБДУЛАТИФОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320280100009394,860249431407,41.20 Строительство жилых и нежилых зданий,28 - Амурская область,БЛАГОВЕЩЕНСКИЙ РАЙОН,,СЕЛО ЧИГИРИ,Нет,10.05.2020,10.08.2021,,,,Нет,Нет,Нет,Нет,Нет,
1061,АБДУРАХМОНОВ АКМАЛ БАХОДИР УГЛИ,Индивидуальный предприниматель,Микропредприятие,323547600117734,540423981032,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Да,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1062,АБДУРАХМОНОВ АЛИШЕР АБДУРАХИМОВИЧ,Индивидуальный предприниматель,Микропредприятие,324774600181548,772203881217,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1063,АБДУРАХМОНОВ АСИЛБЕК АВАЗБЕКОВИЧ,Индивидуальный предприниматель,Микропредприятие,321132600031523,132813686310,41.20 Строительство жилых и нежилых зданий,13 - Республика Мордовия,,г Саранск,,Нет,10.01.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1064,АБДУРАХМОНОВ БАДРИЗАМОН АБДУМАНОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,321144700008960,667478161020,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),Алданский Улус,Город Алдан,,Нет,10.03.2021,,,,,Нет,Нет,Нет,Нет,Нет,
1065,АБДУРАХМОНОВ БАРОТ,Индивидуальный предприниматель,Не является субъектом МСП,317237500098762,231011056403,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,Город Краснодар,,Нет,10.04.2017,10.11.2019,,,,Нет,Нет,Нет,Нет,Нет,
1066,АБДУРАХМОНОВ БАРОТ РАФИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320237500102122,231011056403,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД КРАСНОДАР,,Нет,10.04.2020,10.04.2021,,,,Нет,Нет,Нет,Нет,Нет,
1067,АБДУРАХМОНОВ БАХТИЁР ЕТМИШБОЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321490000001258,490914074596,41.20 Строительство жилых и нежилых зданий,49 - Магаданская область,,г Магадан,,Нет,10.03.2021,10.06.2022,,,,Нет,Нет,Нет,Нет,Нет,
1068,АБДУРАХМОНОВ БУРХОНИДИН ЭРКИНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322650000015277,381015317883,41.20 Строительство жилых и нежилых зданий,65 - Сахалинская область,,г Южно-Сахалинск,,Нет,10.08.2022,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
1069,АБДУРАХМОНОВ ВАЛИЖОН,Индивидуальный предприниматель,Не является субъектом МСП,319402700040613,770873193572,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Жуковский р-н,г Белоусово,,Нет,10.04.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1070,АБДУРАХМОНОВ ГАФФОР ПУЛОДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318420500068320,224802316290,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,ГОРОД НОВОКУЗНЕЦК,,Нет,10.08.2018,10.09.2019,,,,Нет,Нет,Нет,Нет,Нет,
1071,АБДУРАХМОНОВ ГУЛМУРОД САИНИМОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,322246800124091,246522473466,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1072,АБДУРАХМОНОВ ДАВРОНЖОН НУРМАТОВИЧ,Индивидуальный предприниматель,Микропредприятие,322723200082867,723025298185,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,Нет,10.12.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1073,АБДУРАХМОНОВ ДИЛОВАР КУРБОНАЛИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320402700054591,524811072602,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Малоярославецкий р-н,г Малоярославец,,Нет,10.02.2021,10.02.2022,,,,Нет,Нет,Нет,Нет,Нет,
1074,АБДУРАХМОНОВ ЗАФАРЖОН НУРМАТОВИЧ,Индивидуальный предприниматель,Микропредприятие,322723200082889,723012381573,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,Нет,10.12.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1075,АБДУРАХМОНОВ ЛОЧИН АМОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320385000047494,561504612045,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,ГОРОД ИРКУТСК,,Нет,10.08.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
1076,АБДУРАХМОНОВ ЛОЧИН АМОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322385000045041,561504612045,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,Нет,10.06.2022,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1077,АБДУРАХМОНОВ ЛОЧИН АМОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319385000042821,561504612045,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,ГОРОД ИРКУТСК,,Нет,10.05.2019,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
1078,АБДУРАХМОНОВ ЛОЧИН АМОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323385000046323,561504612045,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,Да,10.06.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1079,АБДУРАХМОНОВ ЛОЧИН АМОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316385000100716,561504612045,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,ГОРОД ИРКУТСК,,Нет,01.08.2016,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
1080,АБДУРАХМОНОВ МУМИНЖОН МАШАРИФОВИЧ,Индивидуальный предприниматель,Микропредприятие,324028000038960,891105621905,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,Иглинский р-н,,с Иглино,Да,10.03.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1081,АБДУРАХМОНОВ ОТАБЕК ШОКИРЖОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320491000001305,490701456047,41.20 Строительство жилых и нежилых зданий,49 - Магаданская область,,ГОРОД МАГАДАН,,Нет,10.03.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1082,АБДУРАХМОНОВ ПОРСОХУДЖА АБДУРАХМОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321402700039070,402918450512,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,Город Калуга,,Нет,10.08.2021,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
1083,АБДУРАХМОНОВ РАДЖАБАЛИ КУРБОНАЛИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324600000004053,231223278207,41.20 Строительство жилых и нежилых зданий,60 - Псковская область,,г Псков,,Да,10.03.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1084,АБДУРАХМОНОВ САНГАЛИ НУСРАТУЛЛОЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318532100000010,27420605861,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,Новгородский Район,,,Нет,10.02.2018,10.11.2019,,,,Нет,Нет,Нет,Нет,Нет,
1085,АБДУРАХМОНОВ САФАРХОДЖА ШАРИФХОДЖАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323745600102287,744846317435,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,Сосновский р-н,,п Пригородный,Да,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1086,АБДУРАХМОНОВ САХИДЖОН ХОЛМАХМАДОВИЧ,Индивидуальный предприниматель,Микропредприятие,322140000044136,143543734696,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,Нет,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1087,АБДУРАХМОНОВ УМЕДЖОН ХОЛМАХМАДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320144700018467,143537447608,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,ГОРОД ЯКУТСК,,Нет,10.06.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
1088,АБДУРАХМОНОВ УСМОНЖОН АБДУЛЛАЖОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,321100100005318,102101851075,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,,г Петрозаводск,,Нет,10.04.2021,,,,,Нет,Нет,Нет,Нет,Нет,
1089,АБДУРАХМОНОВ ФАЗЛИДИН ХУРШЕДОВИЧ,Индивидуальный предприниматель,Микропредприятие,322253600076233,251123335461,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Уссурийск,,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1090,АБДУРАХМОНОВ ХИДИРАЛИ ОБЛОКУЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,324280000001664,242803897897,41.20 Строительство жилых и нежилых зданий,28 - Амурская область,,г Благовещенск,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1091,АБДУРАХМОНОВ ШАРИФДЖОН МАШРОБДЖОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320665800062381,660705509458,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД НИЖНЯЯ САЛДА,,Нет,10.05.2020,10.02.2021,,,,Нет,Нет,Нет,Нет,Нет,
1092,АБДУРАХМОНОВ ШЕРАФГАН АБДУКАРИМОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320861700000901,860251625801,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,ГОРОД СУРГУТ,,Нет,10.02.2020,10.12.2022,,,,Нет,Нет,Нет,Нет,Нет,
1093,АБДУРАХМОНОВ ШЕРЗОДБЕК БАХТИЁР УГЛИ,Индивидуальный предприниматель,Микропредприятие,323480000028164,482424635835,41.20 Строительство жилых и нежилых зданий,48 - Липецкая область,Добровский р-н,,с Панино,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1094,АБДУРАХМОНОВ ЮНИСАЛИ,Индивидуальный предприниматель,Не является субъектом МСП,318861700024541,860108397104,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,ГОРОД ХАНТЫ-МАНСИЙСК,,Нет,10.05.2018,10.06.2019,,,,Нет,Нет,Нет,Нет,Нет,
1095,АБДУРАШЕДОВ МАГОМЕД АСЛАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,323200000004343,200601745726,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,Курчалоевский р-н,г. Курчалой,,Нет,10.02.2023,10.08.2023,,,,Нет,Нет,Нет,Нет,Нет,
1096,АБДУРАШИДОВ АБДУРАШИД МАГОМЕДОВИЧ,Индивидуальный предприниматель,Микропредприятие,320366800059205,360801609520,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,ВОРОБЬЕВСКИЙ РАЙОН,,СЕЛО НИЖНИЙ БЫК,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1097,АБДУРАШИДОВ АБДУРАШИД МАГОМЕДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,307053100300019,54900022119,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,Город Каспийск,,Нет,10.08.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
1098,АБДУРАШИДОВ АБДУРАШИД РАШИДБЕКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322057100046481,53412166267,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Хасавюртовский р-н,,с Батаюрт,Нет,10.06.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
1099,АБДУРАШИДОВ АДЛАН ХАСАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323200000029065,200403779120,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Аргун,с Бердыкель,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1100,АБДУРАШИДОВ АРСЛАН АЛИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320057100068810,55400668097,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,ГОРОД КАСПИЙСК,,Нет,10.12.2020,10.03.2021,,,,Нет,Нет,Нет,Нет,Нет,
1101,АБДУРАШИДОВ АРСЛАН АЛИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321057100013360,55400668097,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Каспийск,,Нет,10.03.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1102,АБДУРАШИДОВ ГЕРИХАН САЛАХОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322200000038391,201209182504,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,Шалинский р-н,,с Мескер-Юрт,Нет,10.09.2022,10.06.2023,,,,Нет,Нет,Нет,Нет,Нет,
1103,АБДУРАШИДОВ ИСЛАМ ХАРОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323508100004019,500908257100,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Домодедово,с Вельяминово,Да,10.02.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1104,АБДУРАШИДОВ МАГОМЕД АБДУЛЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316366800150421,360802154890,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,ВОРОБЬЕВСКИЙ РАЙОН,,СЕЛО НИЖНИЙ БЫК,Нет,10.01.2017,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
1105,АБДУРАШИДОВ МАГОМЕДКАМИЛЬ АБУСУПЬЯНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316057100070010,50603280744,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,АХВАХСКИЙ РАЙОН,,СЕЛО КАРАТА,Нет,01.08.2016,10.09.2016,,,,Нет,Нет,Нет,Нет,Нет,
1106,АБДУРАШИДОВА ШУАЙНЕТ РАТМИРОВНА,Индивидуальный предприниматель,Не является субъектом МСП,316774600281188,771987185263,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
1107,АБДУРАШИТОВ РУСТАМ ШАМИЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316385000054860,381298263650,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,ГОРОД ИРКУТСК,,Нет,01.08.2016,10.06.2017,,,,Нет,Нет,Нет,Нет,Нет,
1108,АБДУРЗАКОВ АДАМ АХМЕДОВИЧ,Индивидуальный предприниматель,Микропредприятие,322200000032474,200451355611,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Аргун,с Чечен-Аул,Нет,10.08.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1109,АБДУРЗАКОВ ИСРАИЛ ИБРАГИМОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320203600014308,201202074193,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,ШАЛИНСКИЙ РАЙОН,,ПОСЕЛОК ЧИРИ-ЮРТ,Нет,10.04.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
1110,АБДУРЗАКОВ ЮСУП АБДУРАХИМОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315203600034387,201470238288,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,ГОРОД ГРОЗНЫЙ,,Нет,01.08.2016,10.02.2017,,,,Нет,Нет,Нет,Нет,Нет,
1111,АБДУРИЗАЕВА ФАРИДА ИБАДУЛАЕВНА,Индивидуальный предприниматель,Микропредприятие,322519000017251,54270052182,41.20 Строительство жилых и нежилых зданий,51 - Мурманская область,,г Североморск,,Нет,10.08.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1112,АБДУРКАЕВ АДНАН СОНУКАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319203600018378,201102410194,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,ШЕЛКОВСКОЙ РАЙОН,,СЕЛО КОБИ,Нет,10.12.2020,,,,,Нет,Нет,Нет,Нет,Нет,
1113,АБДУРОЗИКИ АХМЕД АХМЕДОВИЧ,Индивидуальный предприниматель,Микропредприятие,324400000016637,400706248011,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Обнинск,,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1114,АБДУРОЗИКОВ АКМАЛЖОН АКБАРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319402700068953,501716319467,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,МАЛОЯРОСЛАВЕЦКИЙ РАЙОН,,ДЕРЕВНЯ ВОРОБЬЕВО,Нет,10.01.2020,10.06.2021,,,,Нет,Нет,Нет,Нет,Нет,
1115,АБДУРРАХМАНОВ ТУРАН ГУРБАТ ОГЛЫ,Индивидуальный предприниматель,Не является субъектом МСП,319402700062995,772092971350,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,МАЛОЯРОСЛАВЕЦКИЙ РАЙОН,,СЕЛО САНАТОРИЙ ВОРОБЬЕВО,Нет,10.11.2019,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
1116,АБДУСАИДОВ БАХТИЁР УЛЬМАСОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320631300114267,784105627710,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,ГОРОД САМАРА,,Нет,10.12.2020,10.11.2023,,,,Нет,Нет,Нет,Нет,Нет,
1117,АБДУСАИДОВ БАХТИЁР УЛЬМАСОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318631300128918,784105627710,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,ГОРОД САМАРА,,Нет,10.08.2018,10.12.2018,,,,Нет,Нет,Нет,Нет,Нет,
1118,АБДУСАИДОВ КУРБАН МУРТАЗАЛИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321057100010878,53402578134,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Хасавюртовский р-н,,с Муцалаул,Нет,10.03.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1119,АБДУСАЛАМОВ АБДУЛЛАБЕК МАГОМЕД-РАСУЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322265100021833,260403572974,41.10 Разработка строительных проектов,26 - Ставропольский край,Арзгирский р-н,,с Серафимовское,Нет,10.03.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
1120,АБДУСАЛАМОВ ГУРБАН РАДЖАБ ОГЛЫ,Индивидуальный предприниматель,Микропредприятие,319410100006671,410105098840,41.20 Строительство жилых и нежилых зданий,41 - Камчатский край,,ГОРОД ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ,,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1121,АБДУСАЛАМОВ ЖАХОНГИР МАМАСАДЫК-УГЛИ,Индивидуальный предприниматель,Не является субъектом МСП,323547600052474,542709156184,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,Краснозерский р-н,,с Конево,Нет,10.05.2023,10.10.2023,,,,Нет,Нет,Нет,Нет,Нет,
1122,АБДУСАЛАМОВ КУЖАК МАГОМЕДХАБИБОВИЧ,Индивидуальный предприниматель,Микропредприятие,319565800033610,52700738416,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,,ГОРОД ОРЕНБУРГ,,Нет,10.06.2019,,,,,Нет,Нет,Нет,Нет,Нет,
1123,АБДУСАЛАМОВ КУРБАН РАМАЗАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,321057100048058,53196981313,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Тарумовский р-н,,с Александро-Невское,Нет,10.07.2021,,,,,Нет,Нет,Нет,Нет,Нет,
1124,АБДУСАЛАМОВ МУРАД АЛБУРИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322057100083854,54206673961,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Дербент,,Нет,10.10.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1125,АБДУСАЛАМОВ МУСЛИМ АБДУЛМАЛИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,304054621100058,54606359862,41.2 Строительство жилых и нежилых зданий,05 - Республика Дагестан,КИЗИЛЮРТОВСКИЙ РАЙОН,,СЕЛО ЗУБУТЛИ-МИАТЛИ,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
1126,АБДУСАЛАМОВ ФАРХОД АБДУСАЛАМОВИЧ,Индивидуальный предприниматель,Микропредприятие,321332800002469,504709977622,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,Гусь-Хрустальный р-н,,п Уршельский,Нет,10.02.2021,,,,,Нет,Нет,Нет,Нет,Нет,
1127,АБДУСАЛАМОВ ШАМИЛЬ АБДУРАХМАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,324050000013676,51602833885,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Кизилюртовский р-н,,с Новое Гадари,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1128,АБДУСАЛИМОВ КАМРОНБЕК САМАРИДДИНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323784700307576,780743591603,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Да,10.10.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1129,АБДУСАЛОМ АНГЕЗА,Индивидуальный предприниматель,Микропредприятие,323140000045560,143411033849,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),Нерюнгринский р-н,г Нерюнгри,,Да,10.10.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1130,АБДУСАЛОМОВ КУРБОНАЛИ ДЖУМАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318527500085135,668502924380,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,Город Дзержинск,,Нет,10.08.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
1131,АБДУСАЛОМОВ НУМОНЖОН НЕЪМАТЖОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315565800071752,561443025590,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,,ГОРОД ОРСК,,Нет,01.08.2016,10.09.2016,,,,Нет,Нет,Нет,Нет,Нет,
1132,АБДУСАЛОМОВА САИДА ЮСУФДЖОНОВНА,Индивидуальный предприниматель,Микропредприятие,323470400001787,504041234400,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Гатчинский р-н,,д Монделево,Да,10.02.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1133,АБДУСАМАДОВ АХМАД ЕЛИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,320508100058955,402917476645,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,Город Красногорск,,Нет,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1134,АБДУСАМАДОВ АХМАДШО ХИКМАТУЛОЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323745600101269,25613212905,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Магнитогорск,,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1135,АБДУСАМАДОВ ИЗАТУЛЛО МАХМАДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320595800069817,592112064007,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,Пермский Район,,Село Кояново,Нет,10.10.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1136,АБДУСАМАДОВ МАХАЧ МАГОМЕДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,315057200004931,57200276226,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,ГОРОД МАХАЧКАЛА,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
1137,АБДУСАМАДОВ УБАЙДУЛЛО МАХМАДОВИЧ,Индивидуальный предприниматель,Микропредприятие,319595800120621,594811429342,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,Бардымский Район,,Село Бичурино,Нет,10.11.2019,,,,,Нет,Нет,Нет,Нет,Нет,
1138,АБДУСАМАДОВА МАРЗИЯ МАХМАСАФИРОВНА,Индивидуальный предприниматель,Не является субъектом МСП,318595800053343,590423282251,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД ПЕРМЬ,,Нет,10.05.2018,10.09.2018,,,,Нет,Нет,Нет,Нет,Нет,
1139,АБДУСАМАДОВА МАРЗИЯ МАХМАСАФИРОВНА,Индивидуальный предприниматель,Не является субъектом МСП,318595800110012,590423282251,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД ПЕРМЬ,,Нет,10.09.2018,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
1140,АБДУСАМАДОВА ФИРУЗА,Индивидуальный предприниматель,Не является субъектом МСП,315595800040292,590620838481,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД ПЕРМЬ,,Нет,01.08.2016,10.10.2016,,,,Нет,Нет,Нет,Нет,Нет,
1141,АБДУСАМАТОВ МАХМУДЖОН ЕЛИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,320508100397768,502741065867,41.20 Строительство жилых и нежилых зданий,50 - Московская область,ОДИНЦОВО ГОРОД,,,Нет,10.11.2023,,,,,Нет,Нет,Нет,Нет,Нет,
